Name	HeroID	SkillID	SkillSlot	SkillType	SkillFuncType	StopDeath	ResLevel	AwakenType	SkillLevel	SkillCD	IsAwakeSkill	IsCharge	ChargeBuffID	TimeBuffID	TargetCamp	OperationType	SkillAIType
索贝克_技能1_等级5	6	14	1	主动技	单体		0	0	5	0					敌方	选择单体	伤害效果
索贝克_技能2_等级1	6	20	2	主动技	单体		0	0	1	4					敌方	选择单体	伤害效果
索贝克_技能2_等级2	6	21	2	主动技	单体		0	0	2	4					敌方	选择单体	伤害效果
索贝克_技能2_等级3	6	22	2	主动技	单体		0	0	3	4					敌方	选择单体	伤害效果
索贝克_技能2_等级4	6	23	2	主动技	单体		0	0	4	4					敌方	选择单体	伤害效果
索贝克_技能2_等级5	6	24	2	主动技	单体		0	0	5	3					敌方	选择单体	伤害效果
索贝克_技能2_等级1_共鸣6	6	620	2	主动技	单体		6	0	1	4					敌方	选择单体	伤害效果
索贝克_技能2_等级2_共鸣6	6	621	2	主动技	单体		6	0	2	4					敌方	选择单体	伤害效果
索贝克_技能2_等级3_共鸣6	6	622	2	主动技	单体		6	0	3	4					敌方	选择单体	伤害效果
索贝克_技能2_等级4_共鸣6	6	623	2	主动技	单体		6	0	4	4					敌方	选择单体	伤害效果
索贝克_技能2_等级5_共鸣6	6	624	2	主动技	单体		6	0	5	3					敌方	选择单体	伤害效果
索贝克_技能3_等级1	6	30	3	主动技	群攻		0	0	1	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级2	6	31	3	主动技	群攻		0	0	2	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级3	6	32	3	主动技	群攻		0	0	3	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级4	6	33	3	主动技	群攻		0	0	4	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级5	6	34	3	主动技	群攻		0	0	5	4	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级1_觉醒	6	3030	3	主动技	群攻		0	3	1	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级2_觉醒	6	3031	3	主动技	群攻		0	3	2	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级3_觉醒	6	3032	3	主动技	群攻		0	3	3	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级4_觉醒	6	3033	3	主动技	群攻		0	3	4	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级5_觉醒	6	3034	3	主动技	群攻		0	3	5	4	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级1_共鸣1	6	130	3	主动技	群攻		1	0	1	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级2_共鸣1	6	131	3	主动技	群攻		1	0	2	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级3_共鸣1	6	132	3	主动技	群攻		1	0	3	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级4_共鸣1	6	133	3	主动技	群攻		1	0	4	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级5_共鸣1	6	134	3	主动技	群攻		1	0	5	4	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级1_觉醒_共鸣1	6	3130	3	主动技	群攻		1	3	1	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级2_觉醒_共鸣1	6	3131	3	主动技	群攻		1	3	2	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级3_觉醒_共鸣1	6	3132	3	主动技	群攻		1	3	3	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级4_觉醒_共鸣1	6	3133	3	主动技	群攻		1	3	4	5	TRUE				敌方	直接释放	伤害效果
索贝克_技能3_等级5_觉醒_共鸣1	6	3134	3	主动技	群攻		1	3	5	4	TRUE				敌方	直接释放	伤害效果
杨戬_技能1_等级1	7	10	1	主动技	单体		0	0	1	0					敌方	选择单体	伤害效果
杨戬_技能1_等级2	7	11	1	主动技	单体		0	0	2	0					敌方	选择单体	伤害效果
杨戬_技能1_等级3	7	12	1	主动技	单体		0	0	3	0					敌方	选择单体	伤害效果
杨戬_技能1_等级4	7	13	1	主动技	单体		0	0	4	0					敌方	选择单体	伤害效果
杨戬_技能1_等级5	7	14	1	主动技	单体		0	0	5	0					敌方	选择单体	伤害效果
杨戬_技能2_等级1	7	20	2	被动技			0	0	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2	7	21	2	被动技			0	0	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3	7	22	2	被动技			0	0	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4	7	23	2	被动技			0	0	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5	7	24	2	被动技			0	0	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_觉醒	7	3020	2	被动技			0	3	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_觉醒	7	3021	2	被动技			0	3	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_觉醒	7	3022	2	被动技			0	3	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_觉醒	7	3023	2	被动技			0	3	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_觉醒	7	3024	2	被动技			0	3	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_共鸣1	7	120	2	被动技			1	0	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_共鸣1	7	121	2	被动技			1	0	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_共鸣1	7	122	2	被动技			1	0	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_共鸣1	7	123	2	被动技			1	0	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_共鸣1	7	124	2	被动技			1	0	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_觉醒_共鸣1	7	3120	2	被动技			1	3	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_觉醒_共鸣1	7	3121	2	被动技			1	3	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_觉醒_共鸣1	7	3122	2	被动技			1	3	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_觉醒_共鸣1	7	3123	2	被动技			1	3	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_觉醒_共鸣1	7	3124	2	被动技			1	3	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_共鸣2	7	220	2	被动技			2	0	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_共鸣2	7	221	2	被动技			2	0	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_共鸣2	7	222	2	被动技			2	0	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_共鸣2	7	223	2	被动技			2	0	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_共鸣2	7	224	2	被动技			2	0	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_觉醒_共鸣2	7	3220	2	被动技			2	3	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_觉醒_共鸣2	7	3221	2	被动技			2	3	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_觉醒_共鸣2	7	3222	2	被动技			2	3	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_觉醒_共鸣2	7	3223	2	被动技			2	3	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_觉醒_共鸣2	7	3224	2	被动技			2	3	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_共鸣6	7	620	2	被动技			6	0	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_共鸣6	7	621	2	被动技			6	0	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_共鸣6	7	622	2	被动技			6	0	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_共鸣6	7	623	2	被动技			6	0	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_共鸣6	7	624	2	被动技			6	0	5	0	TRUE				敌方	选择单体	
杨戬_技能2_等级1_觉醒_共鸣6	7	3620	2	被动技			6	3	1	0	TRUE				敌方	选择单体	
杨戬_技能2_等级2_觉醒_共鸣6	7	3621	2	被动技			6	3	2	0	TRUE				敌方	选择单体	
杨戬_技能2_等级3_觉醒_共鸣6	7	3622	2	被动技			6	3	3	0	TRUE				敌方	选择单体	
杨戬_技能2_等级4_觉醒_共鸣6	7	3623	2	被动技			6	3	4	0	TRUE				敌方	选择单体	
杨戬_技能2_等级5_觉醒_共鸣6	7	3624	2	被动技			6	3	5	0	TRUE				敌方	选择单体	
杨戬_技能3_等级1	7	30	3	主动技	群攻		0	0	1	5					敌方	直接释放	伤害效果
杨戬_技能3_等级2	7	31	3	主动技	群攻		0	0	2	5					敌方	直接释放	伤害效果
杨戬_技能3_等级3	7	32	3	主动技	群攻		0	0	3	5					敌方	直接释放	伤害效果
杨戬_技能3_等级4	7	33	3	主动技	群攻		0	0	4	5					敌方	直接释放	伤害效果
杨戬_技能3_等级5	7	34	3	主动技	群攻		0	0	5	4					敌方	直接释放	伤害效果
杨戬_技能10_等级1	7	100	10	子技能	单体		0	0	1	0					敌方	选择单体	
杨戬_技能10_等级2	7	101	10	子技能	单体		0	0	2	0					敌方	选择单体	
杨戬_技能10_等级3	7	102	10	子技能	单体		0	0	3	0					敌方	选择单体	
